"BusinessOwnersPolicyGuide","Product Information","https://www.progressive.com/BusinessOwnersPolicyGuide.pdf","Guide to our Business Owners Policy insurance product."
"CommercialPropertyInsuranceStrategy","Product Strategy","https://www.progressive.com/CommercialPropertyInsuranceStrategy.pdf","Strategy for marketing and selling commercial property insurance."
"CommercialClaimsProcess","Claim Process","https://www.progressive.com/CommercialClaimsProcess.pdf","Overview of the claims process for commercial insurance policies."
"WorkersCompensationPolicy","Policy Updates","https://www.progressive.com/WorkersCompensationPolicy.pdf","Details our policy on Workers' Compensation insurance."
"GeneralLiabilityInsuranceGuide","Product Information","https://www.progressive.com/GeneralLiabilityInsuranceGuide.pdf","Guide to our General Liability insurance product for businesses."
"ProfessionalLiabilityStrategy","Product Strategy","https://www.progressive.com/ProfessionalLiabilityStrategy.pdf","Strategy for marketing and selling professional liability insurance."
"CommercialInsuranceFraudPrevention","Fraud Prevention","https://www.progressive.com/CommercialInsuranceFraudPrevention.pdf","Outlines our approach to preventing fraud in commercial insurance."
"CommercialInsuranceUnderwriting","Underwriting","https://www.progressive.com/CommercialInsuranceUnderwriting.pdf","Details the factors and methods used in underwriting commercial insurance policies."
"BusinessInterruptionCoverage","Policy Updates","https://www.progressive.com/BusinessInterruptionCoverage.pdf","Details our coverage options for business interruption."
"EquipmentBreakdownInsurance","Product Information","https://www.progressive.com/EquipmentBreakdownInsurance.pdf","Provides information on our equipment breakdown insurance offerings."
"CommercialCyberLiabilityStrategy","Product Strategy","https://www.progressive.com/CommercialCyberLiabilityStrategy.pdf","Strategy for promoting our cyber liability insurance for businesses."
"CommercialInsuranceTraining","Training","https://www.progressive.com/CommercialInsuranceTraining.pdf","Training material for agents selling commercial insurance."
"BusinessUmbrellaPolicy","Policy Updates","https://www.progressive.com/BusinessUmbrellaPolicy.pdf","Details our umbrella insurance policy for businesses."
"CommercialFleetInsuranceGuide","Product Information","https://www.progressive.com/CommercialFleetInsuranceGuide.pdf","Guide to our insurance offerings for commercial vehicle fleets."
"CommercialPremiumPaymentOptions","Policy Updates","https://www.progressive.com/CommercialPremiumPaymentOptions.pdf","Explains the various options available for businesses to pay their premiums."
"DirectorsOfficersInsuranceStrategy","Product Strategy","https://www.progressive.com/DirectorsOfficersInsuranceStrategy.pdf","Strategy for marketing and selling Directors & Officers insurance."
"BusinessInsuranceClaimFraudDetection","Fraud Prevention","https://www.progressive.com/BusinessInsuranceClaimFraudDetection.pdf","Outlines our process for detecting fraudulent claims in business insurance."
"RiskAssessmentForBusinesses","Underwriting","https://www.progressive.com/RiskAssessmentForBusinesses.pdf","Details our risk assessment process for insuring businesses."
"CommercialInsuranceBundlingOptions","Policy Updates","https://www.progressive.com/CommercialInsuranceBundlingOptions.pdf","Details our options for bundling different commercial insurance policies."
"CommercialMarineInsuranceGuide","Product Information","https://www.progressive.com/CommercialMarineInsuranceGuide.pdf","Guide to our marine insurance offerings for businesses."
"CommercialEarthquakeInsuranceStrategy","Product Strategy","https://www.progressive.com/CommercialEarthquakeInsuranceStrategy.pdf","Strategy for promoting our earthquake insurance for businesses."
"Document Name","Document Category","Document Location","Description"
"FloridaAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/FloridaAutoInsuranceRequirements.pdf","Outlines the state-required minimums for auto insurance in Florida."
"FloridaFloodInsuranceGuide","Product Information","https://www.progressive.com/FloridaFloodInsuranceGuide.pdf","Guide to flood insurance in Florida, including information about FEMA flood zones."
"FloridaHomeInsurancePolicy","Policy Updates","https://www.progressive.com/FloridaHomeInsurancePolicy.pdf","Details our home insurance policy for customers in Florida."
"FloridaPIPInsurance","Product Information","https://www.progressive.com/FloridaPIPInsurance.pdf","Guide to Personal Injury Protection (PIP) insurance in Florida."
"FloridaCommercialAutoInsurance","Policy Updates","https://www.progressive.com/FloridaCommercialAutoInsurance.pdf","Explains the requirements for commercial auto insurance in Florida."
"FloridaInsuranceFraudPrevention","Fraud Prevention","https://www.progressive.com/FloridaInsuranceFraudPrevention.pdf","Details our strategies for preventing insurance fraud in Florida."
"FloridaRideshareInsurancePolicy","Policy Updates","https://www.progressive.com/FloridaRideshareInsurancePolicy.pdf","Outlines our policy for rideshare insurance in Florida."
"FloridaBoatInsuranceGuide","Product Information","https://www.progressive.com/FloridaBoatInsuranceGuide.pdf","A guide to our boat insurance offerings in Florida."
"FloridaMotorcycleInsurancePolicy","Policy Updates","https://www.progressive.com/FloridaMotorcycleInsurancePolicy.pdf","Details our motorcycle insurance policy for customers in Florida."
"FloridaHurricaneCoverage","Product Information","https://www.progressive.com/FloridaHurricaneCoverage.pdf","Provides information on our hurricane coverage in Florida."
"FloridaWorkersCompensationRequirements","Policy Updates","https://www.progressive.com/FloridaWorkersCompensationRequirements.pdf","Details the state-required minimums for Workers' Compensation insurance in Florida."
"FloridaCondoInsuranceGuide","Product Information","https://www.progressive.com/FloridaCondoInsuranceGuide.pdf","Guide to our condo insurance offerings in Florida."
"FloridaTeenDriverPolicy","Policy Updates","https://www.progressive.com/FloridaTeenDriverPolicy.pdf","Details our policy for insuring teen drivers in Florida."
"FloridaClaimProcess","Claim Process","https://www.progressive.com/FloridaClaimProcess.pdf","Overview of the claims process for customers in Florida."
"FloridaCommercialPropertyInsurance","Policy Updates","https://www.progressive.com/FloridaCommercialPropertyInsurance.pdf","Outlines our policy for commercial property insurance in Florida."
"FloridaUnderwritingRules","Underwriting","https://www.progressive.com/FloridaUnderwritingRules.pdf","Details our rules for underwriting insurance policies in Florida."
"FloridaGeneralLiabilityInsurance","Policy Updates","https://www.progressive.com/FloridaGeneralLiabilityInsurance.pdf","Details our general liability insurance policy for customers in Florida."
"FloridaBusinessOwnersPolicy","Policy Updates","https://www.progressive.com/FloridaBusinessOwnersPolicy.pdf","Outlines our Business Owners Policy for customers in Florida."
"FloridaRVInsuranceGuide","Product Information","https://www.progressive.com/FloridaRVInsuranceGuide.pdf","Guide to our RV insurance offerings in Florida."
"FloridaNaturalDisasterCoverage","Policy Updates","https://www.progressive.com/FloridaNaturalDisasterCoverage.pdf","Details our coverage options related to natural disasters in Florida."
"Document Name","Document Category","Document Location","Description"
"CaliforniaAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/CaliforniaAutoInsuranceRequirements.pdf","Details the minimum required coverage for auto insurance in California."
"TexasHomeInsuranceRequirements","Policy Updates","https://www.progressive.com/TexasHomeInsuranceRequirements.pdf","Details the minimum required coverage for home insurance in Texas."
"NewYorkMotorcycleInsuranceRequirements","Policy Updates","https://www.progressive.com/NewYorkMotorcycleInsuranceRequirements.pdf","Details the minimum required coverage for motorcycle insurance in New York."
"OhioCommercialAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/OhioCommercialAutoInsuranceRequirements.pdf","Details the minimum required coverage for commercial auto insurance in Ohio."
"WashingtonBoatInsuranceRequirements","Policy Updates","https://www.progressive.com/WashingtonBoatInsuranceRequirements.pdf","Details the minimum required coverage for boat insurance in Washington."
"CaliforniaHomeInsuranceRequirements","Policy Updates","https://www.progressive.com/CaliforniaHomeInsuranceRequirements.pdf","Details the minimum required coverage for home insurance in California."
"TexasMotorcycleInsuranceRequirements","Policy Updates","https://www.progressive.com/TexasMotorcycleInsuranceRequirements.pdf","Details the minimum required coverage for motorcycle insurance in Texas."
"NewYorkCommercialAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/NewYorkCommercialAutoInsuranceRequirements.pdf","Details the minimum required coverage for commercial auto insurance in New York."
"OhioBoatInsuranceRequirements","Policy Updates","https://www.progressive.com/OhioBoatInsuranceRequirements.pdf","Details the minimum required coverage for boat insurance in Ohio."
"WashingtonAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/WashingtonAutoInsuranceRequirements.pdf","Details the minimum required coverage for auto insurance in Washington."
"CaliforniaMotorcycleInsuranceRequirements","Policy Updates","https://www.progressive.com/CaliforniaMotorcycleInsuranceRequirements.pdf","Details the minimum required coverage for motorcycle insurance in California."
"TexasCommercialAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/TexasCommercialAutoInsuranceRequirements.pdf","Details the minimum required coverage for commercial auto insurance in Texas."
"NewYorkBoatInsuranceRequirements","Policy Updates","https://www.progressive.com/NewYorkBoatInsuranceRequirements.pdf","Details the minimum required coverage for boat insurance in New York."
"OhioAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/OhioAutoInsuranceRequirements.pdf","Details the minimum required coverage for auto insurance in Ohio."
"WashingtonHomeInsuranceRequirements","Policy Updates","https://www.progressive.com/WashingtonHomeInsuranceRequirements.pdf","Details the minimum required coverage for home insurance in Washington."
"CaliforniaCommercialAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/CaliforniaCommercialAutoInsuranceRequirements.pdf","Details the minimum required coverage for commercial auto insurance in California."
"TexasBoatInsuranceRequirements","Policy Updates","https://www.progressive.com/TexasBoatInsuranceRequirements.pdf","Details the minimum required coverage for boat insurance in Texas."
"NewYorkAutoInsuranceRequirements","Policy Updates","https://www.progressive.com/NewYorkAutoInsuranceRequirements.pdf","Details the minimum required coverage for auto insurance in New York."
"OhioHomeInsuranceRequirements","Policy Updates","https://www.progressive.com/OhioHomeInsuranceRequirements.pdf","Details the minimum required coverage for home insurance in Ohio."
"WashingtonMotorcycleInsuranceRequirements","Policy Updates","https://www.progressive.com/WashingtonMotorcycleInsuranceRequirements.pdf","Details the minimum required coverage for motorcycle insurance in Washington."




"RENTAL_CAR_COVERAGE","Product Information","RNT_CAR_0054","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Explains our coverage options for rental cars."
"GAP_INSURANCE_OVERVIEW","Product Information","GAP_INS_0055","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Overview of our Guaranteed Asset Protection (GAP) insurance."
"SR22_INSURANCE_INFORMATION","Product Information","SR2_INS_0056","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Information about SR-22 insurance certificates for high-risk drivers."
"DRIVER_DISCOUNTS_POLICY","Policy Updates","DRV_DSC_0057","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog",  including safe driver and good student discounts."
"RV_INSURANCE_GUIDE","Product Information","RV_INS_0058","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to our insurance offerings for recreational vehicles (RVs)."
"UMBRELLA_INSURANCE_POLICY","Policy Updates","UMB_INS_0059","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog",  which provides additional liability coverage."
"SNOWMOBILE_INSURANCE_GUIDE","Product Information","SNW_INS_0060","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to our insurance offerings for snowmobiles."
"CUSTOMER_SERVICE_POLICY","Policy Updates","CST_SVC_0061","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Outlines our policy for providing excellent customer service."
"COLLECTOR_CAR_INSURANCE_GUIDE","Product Information","COL_CAR_0062","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to our insurance offerings for collector cars."
"ATV_INSURANCE_POLICY","Policy Updates","ATV_INS_0063","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for insuring All-Terrain Vehicles (ATVs)."
"PET_INSURANCE_GUIDE","Product Information","PET_INS_0064","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to our insurance offerings for pets."
"MOBILE_HOME_INSURANCE_POLICY","Policy Updates","MOB_HOM_0065","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for insuring mobile homes."
"GOLF_CART_INSURANCE_GUIDE","Product Information","GOF_CAR_0066","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to our insurance offerings for golf carts."
"CYBER_INSURANCE_POLICY","Policy Updates","CYB_INS_0067","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog",  which covers businesses against cyber threats."
"SENIOR_DISCOUNTS_POLICY","Policy Updates","SEN_DSC_0068","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for providing discounts to senior customers."
"RATE_REDUCTION_OVERVIEW","Policy Updates","RAT_RED_0070","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Provides an overview of our rate reduction policies."
"SAFE_DRIVER_RATE_REDUCTION","Policy Updates","SFD_RRD_0071","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for safe drivers."
"GOOD_STUDENT_RATE_REDUCTION","Policy Updates","GST_RRD_0072","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for students with good academic performance."
"SENIOR_DRIVER_RATE_REDUCTION","Policy Updates","SEN_RRD_0073","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for senior drivers."
"MILITARY_SERVICE_RATE_REDUCTION","Policy Updates","MIL_RRD_0074","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for active and veteran military personnel."
"MULTI_POLICY_RATE_REDUCTION","Policy Updates","MUL_POL_0075","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for customers with multiple insurance policies."
"LOW_MILEAGE_RATE_REDUCTION","Policy Updates","LOW_MLG_0076","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for customers who drive less than the average mileage."
"ANTI_THEFT_DEVICE_RATE_REDUCTION","Policy Updates","ANT_THF_0077","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for vehicles equipped with anti-theft devices."
"DEFENSIVE_DRIVER_COURSE_RATE_REDUCTION","Policy Updates","DEF_DRV_0078","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for drivers who have completed a defensive driving course."
"HOMEOWNER_RATE_REDUCTION","Policy Updates","HOMOWN_RRD_0079","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for customers who own their homes."
"MOTORCYCLE_INSURANCE_OVERVIEW","Product Information","MOT_OVR_0080","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Provides an overview of our motorcycle insurance offerings."
"MOTORCYCLE_INSURANCE_COVERAGE","Product Information","MOT_COV_0081","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details the coverage options available in our motorcycle insurance."
"MOTORCYCLE_INSURANCE_DISCOUNTS","Policy Updates","MOT_DSC_0082","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for providing discounts to motorcycle insurance customers."
"MOTORCYCLE_INSURANCE_CLAIMS","Claim Process","MOT_CLM_0083","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Explains the process for filing and handling motorcycle insurance claims."
"SPORT_BIKE_INSURANCE_POLICY","Product Information","SPT_BIK_0084","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for insuring sport bikes."
"CRUISER_INSURANCE_POLICY","Product Information","CRU_INS_0085","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for insuring cruiser motorcycles."
"VINTAGE_MOTORCYCLE_INSURANCE","Product Information","VIN_MOT_0086","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for insuring vintage motorcycles."
"DUAL_SPORT_MOTORCYCLE_INSURANCE","Product Information","DUL_SPT_0087","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for insuring dual-sport motorcycles."
"MOTORCYCLE_INSURANCE_RATE_REDUCTION","Policy Updates","MOT_RRD_0088","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our rate reduction policy for motorcycle insurance customers."
"MOTORCYCLE_INSURANCE_FRAUD_PREVENTION","Fraud Prevention","MOT_FRD_0089","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our strategies for preventing motorcycle insurance fraud."
"BILLING_OVERVIEW","Billing Process","BIL_OVR_0090","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Provides an overview of our billing process."
"AUTO_INSURANCE_BILLING_GUIDE","Billing Process","AUT_BIL_0091","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to billing for auto insurance policies."
"HOME_INSURANCE_BILLING_GUIDE","Billing Process","HOM_BIL_0092","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to billing for home insurance policies."
"COMMERCIAL_INSURANCE_BILLING_GUIDE","Billing Process","COM_BIL_0093","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to billing for commercial insurance policies."
"ONLINE_BILL_PAY_GUIDE","Billing Process","ONL_BLP_0094","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to paying bills online."
"AUTO_PAY_ENROLLMENT","Billing Process","AUT_PAY_0095","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to enrolling in automatic payments."
"LATE_PAYMENT_POLICY","Policy Updates","LAT_PAY_0096","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy on late payments."
"PAYMENT_PLAN_OPTIONS","Billing Process","PAY_PLN_0097","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Explains the different payment plan options available to customers."
"BILLING_DISPUTE_RESOLUTION","Billing Process","BIL_DSP_0098","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Explains the process for resolving billing disputes."
"REFUND_POLICY","Policy Updates","REF_POL_0099","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy for issuing refunds."
"BILLING_FRAUD_PREVENTION","Fraud Prevention","BIL_FRD_0100","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our strategies for preventing billing fraud."
"PREMIUM_CALCULATION_GUIDE","Billing Process","PRM_CAL_0101","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to how premiums are calculated."
"INSURANCE_TAXES_AND_FEES","Billing Process","TAX_FEE_0102","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Explains the taxes and fees associated with insurance premiums."
"PAYMENT_METHODS","Billing Process","PAY_MET_0103","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details the different payment methods accepted."
"CREDIT_CARD_CHARGEBACK_POLICY","Policy Updates","CRD_CHB_0104","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy on credit card chargebacks."
"BILLING_CYCLE_EXPLANATION","Billing Process","BIL_CYC_0105","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Explains how the billing cycle works."
"UNDERSTANDING_YOUR_BILL","Billing Process","UND_BIL_0106","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Guide to understanding your bill."
"OVERPAYMENT_REFUND_POLICY","Policy Updates","OVP_REF_0107","https://edm-dig-prod.prod.glb.pgrcloud.app/data-catalog", "Details our policy on refunding overpayments."
