Title,Definition
"Claims Learning and Performance Solutions","A group within the Claims Performance Solutions Group responsible for all of the classroom and field training of contact center and field claims representatives. Team members work to improve the accuracy and efficiency of claims handling while maintaining a positive work environment and customer service experience."
"Claims Performance Solutions Group","A group within Claims that designs and creates learning materials and performance solutions that help the Claims organization meet its strategic goals."
"claims representative","An insurance company employee or contractor who helps settle claims. Also called a “claims adjuster” or “claims rep.”"
"ClaimStation","Our claims management system that stores and organizes data on policies and claims."
"close rate","A ratio comparing the number of policy applications we receive to the number of quotes we prepare."
"closed without payment","A claim status that shows we’ve closed the claim, but didn’t pay the customer. This could happen when a customer files a claim for physical damage but has a liability-only policy."
"closure rate","A statistic showing how many claims are paid and closed. To determine the closure date, we divide the number of claims paid by the total number of claims, both open and paid."
"collateral","A type of property that a borrower pledges to give a lender if they can't pay back their loan. Also called “security.”"
"collision","An event in which a vehicle collides or crashes with another object or overturns."
"Collision coverage","A type of coverage. With collision, we pay to repair damage to a customer’s car when they hit, or are hit by, another vehicle or object, regardless of who’s at fault. The customer chooses a deductible and pays this portion to the repair shop after an accident. We pay for the remaining costs, up to the limits the customer chooses, to bring the vehicle back to the condition it was in before the accident."
"combined ratio","A factor we look at as an indicator of our profitability. To determine the combined ratio, we divide the sum of our losses and loss adjustment expenses, policy acquisition costs, and other underwriting expenses, net of fees and other revenues, by earned premium. A combined ratio below 100 indicates operating profit; a combined ratio over 100 indicates operating loss. Our goal is a 96 combined ratio, which means we’re earning four cents on every premium dollar."
"Commercial Auto","A reference to our commercial insurance product."
"Commercial Automobile Insurance Procedure","A type of insurance for taxi companies, bus companies, truck fleets, and other businesses. Many times these companies cannot get insurance elsewhere because other companies determine them to be too great of a risk."
"Commercial Grade®","An advertising slogan introduced in 2006 to represent our Commercial Lines products. The slogan also appears in an icon representing a truck grill that we use on some advertising materials."
"Commercial Lines","A business division that handles insurance for commercial customers, such as companies that own a small fleet of vehicles for business purposes."
"commission","The money we pay to an agent or broker for selling or renewing a policy."
"comparative negligence","A situation in which both the plaintiff and defendant are partially at fault for an accident. We reduce the amount of money a plaintiff receives proportionally to his or her share of responsibility for the accident."
"comparison rating experience","A service with which we provide our rate as well as the rates of other top insurers. We introduced this service in the 1990s to help consumers shop for auto insurance."
"Comparison Rating Group","The Progressive team that tracks competitors’ rates. We share these rates with customers as part of our comparison rating experience."
"compensatory damages","Money paid to restore a plaintiff to the financial position he or she was in before experiencing property damage or bodily injury caused by the defendant."
"Comprehensive coverage","A type of coverage. With comprehensive, we cover damages to a customer’s car—with a deductible selected by the customer—caused by something other than a collision, such as fire, theft, vandalism, hail or flood. We also pay for damage caused by hitting an animal, and we pay for a rental vehicle if the car is stolen."
"Comprehensive Loss Underwriting Exchange","A database generated by LexisNexis® that pools claims history information from major insurance providers. Progressive uses C.L.U.E. reports to gather information about accidents that may not have been listed on a customer’s application or motor vehicle report."
"compulsory auto insurance","A state requirement that drivers must buy at least a minimum amount of coverage. Drivers are required to show proof before they can legally drive a car."
"concierge level of claims service","Level of service offered at our Service Centers in which claims representatives manage all parts of a claim, from estimate through repair."
"conditions","The portion of the insurance contract that outlines the duties and responsibilities of both the insured and the insurer."
"consequential loss","Loss caused indirectly by damage to a vehicle (e.g., food spoilage in an RV refrigerator damaged by fire)."
"contingent commission","See “Profitable Growth Bonus.”"
"Continuous Insurance Discount","The savings earned for having maintained a policy with no more than a minimal lapse (fewer than 31 days)."
"Contractor","The name for our program that covers ​vehicles used in contractor businesses, like carpenters, concrete and asphalt, electricians, and landscapers."
"conversion","A process by which we close the sale on a policy we’ve quoted."
"conversion ratio","A ratio that compares the number of policies we sell to the number of quotes we prepare."
"cooperative marketing","A type of advertising we produce that agents can use to promote their business with us. Also called “co-op marketing.”"
"Core Values","A set of concepts that steer our decisions and behavior at Progressive. Our Core Values are: Integrity, Golden Rule, Objectives, Excellence, and Profit."
"cost per quote","A way we evaluate our cost by dividing the acquisition costs of a Direct policy by total quotes provided."
"cost per sale","A way we evaluate our cost by dividing the acquisition costs of a Direct policy, including quoting and advertising costs, by total policies sold."
"coverage summary","A document that gives an overview of an insurance policy. It includes the customer's name and address, the insured items’ description and location, the policy period, the premium, and other information. Also called a “declarations page.”"
"coverage verification","A process by  which we check to make sure a customer has the right type and amount of insurance to cover a specific claim."
"coverage verification question","A question we ask when a customer isn't sure if he or she has the right type and amount of insurance to cover a loss. The customer can call the Claims Verification Unit for help."
"credit","A person's financial record. We use credit, among other variables,  to determine a person’s insurance risk."
"Customer Preservation Team","A team within our Personal Lines group that works to prevent customers from cancelling their policies. This team was previously called the Customer Retention Team and the Cancel Save Team."
"Customer Quoting Agent Rates","The application consumers use to get a quote through progressive.com/agent or from an independent agency’s website."
"Customer Relationship Management","A division within the Personal Lines business group comprised of the Contact Center groups (Sales and Service Delivery) as well as the Customer Experience, Systems Experience, and Workforce Management groups."
"damage","Physical harm to, destruction of, or loss of use of, tangible property."
"damages","An amount of money paid as a result of a lawsuit—either compensatory (meant to pay for things like medical bills or property damage) or punitive (meant to punish a wrongdoer)."
"Daytime Running Lamp Discount","The savings earned for having factory-installed daytime running lights."
"declarations page","An insurance policy document that shows the name and address of a customer, the location and description of the insured property, the policy period, premium and other information."
"deductible","An amount of money customers must pay for a covered loss. Customers select the amount of their deductible when they buy a policy. The higher the deductible, the lower the premium."
"Deductible Savings Bank®","A part of the Progressive Auto Advantage Package in which customers accrue money to be used toward their deductible if they have a comprehensive or collision claim."
"deferred acquisition costs","A portion of the costs (e.g., commissions, taxes, servicing costs) of starting a new insurance policy that we pay, but gradually recoup from the customer over the life of the policy."
"definitions","The portion of the insurance contract that explains important words used in the contract."
"department of insurance","A regulatory body in each state that oversees insurance companies' business in the state."
"depreciation","Decrease in the value of property due to age, wear and obsolescence. This may affect claim settlements."
"diary","A section on ClaimStation where claims representatives organize, schedule and track work to be done on each claim."
"direct damage","Primary harm caused by an incident (e.g., dented metal where a car collided with something). “Indirect damage” is harm due to a secondary cause (e.g., cracks in the rear glass due to movement of the car's unibody during a frontal collision)."
"direct reporting group","A group of employees who report to the same manager or supervisor."
"direct response advertising","A type of advertising that tries to motivate consumers to take a specific action (e.g.,  call 1-800-PROGRESSIVE, shop and buy online at progressive.com, or visit a local agent or broker for a quote)."
"Direct Sales","The group within our Commercial Lines organization who quote and sell new business policies to our customers.  "
"direct sales representative","An employee at Progressive who sells policies to customers who call our toll-free numbers."
"direct written premium","Total premiums received, including those that may later go to reinsurers."
"DirectIT Internet Quoting","A web-based quoting application used by Direct Sales Representatives (DSRs) and Progressive customers. DINET is also known as F2.5, F3 and CONNECT."
"disposition","The final settlement of a claim."
"Distant Student Discount","The savings earned for having a child who lives away at school and doesn’t have regular access to a car."
"distribution channel","A way that a customer can buy an insurance policy. We have two ways: direct (including by phone, online or mobile) and agency (through an independent agent)."
"distribution method","See “distribution channel.”"
"down payment","See “initial payment.”"
"Drive® Insurance","Our brand of auto and motorcycle insurance sold only through independent agents and brokers in California."
"driveinsurance.com","The main website for California Drive Insurance customers."
"driver status","A question we ask on a customer‘s application that tells us if a driver will be rated, listed or excluded."
"dual interest","A situation in which more than one party has an insurable interest in something (e.g., a vehicle financing company)."
"Duck Creek","The vendor-provided quoting and servicing solution that integrates with existing Commercial Auto systems to form the Atlas program. "
"dwelling","A building that someone can live in."
"earned car year","A situation that occurs when a vehicle has been insured for 12 months."
"earned premium","A portion of the premium that we earn for each policy. For example, if a customer buys a six-month policy for $600, we earn $3.33 ($600/180 days) each day of the policy. After 60 days, we've collected $200 in “earned premium.” The remaining $400 is “unearned premium.”"
"Earned Time Benefit","The former name for our time-off program for employees. See ""Paid Time Off."""
"earnings per share","An amount of money each share of common stock earns. It's calculated as: a company's profits (minus taxes, bond interest and preferred stock payments) divided by the number of outstanding shares of common stock."
"ease of use","The term used to describe an important part of Commercial Lines' value proposition. "
"economic loss","An amount of money lost due to the death or disability of a wage earner, or from property damage. It includes the loss of income, medical expenses, funeral expenses, the cost of restoring or replacing property and legal expenses. It does not include non-monetary losses, such as pain caused by an injury."
"effective date","The date that insurance coverage starts. Also known as the “inception date.”"
"EFT Discount","The savings earned for choosing an electronic funds transfer (EFT) payment plan."
"Electronic Funds Transfer","A process in which a customer makes a payment by automatic withdrawal from their bank account."
"endorsement","A change to a policy's coverage, terms or conditions that a customer calls in or makes online. Also, the document that explains the changes. Sometimes called a “rider.”"
"escheatable property","Unclaimed money—such as checks never cashed by customers, claimants or employees—that must be turned over to the state after a certain length of time set by state law."
"escheatment","Turning over unclaimed or abandoned property to the state, usually when the owner dies without a will."
"E-signature Discount","The savings earned for choosing to buy a policy direct and signing new business documents online."
"evidence of insurance","A written or printed statement showing the applicability and effectiveness of insurance coverages"
"excess liability coverage","Extra insurance to cover liability beyond the limits of another policy."
"excess of loss","A type of reinsurance by which an insurer covers a loss up to a certain amount. Above that amount, the insurer and reinsurer share the loss."
"Excluded Driver Surcharge","A charge a customer pays for having excluded drivers on a policy. An excluded driver is someone either may not drive the vehicle or may drive the vehicle but is insured by another company."
"exclusions","Risks, people, property, classes, or locations that an insurance policy doesn't cover."
"exclusive agent","See “captive agent.”"
"expense ratio","A percentage of each premium dollar that we use to pay expenses, such as customer service and sales salaries, advertising, agent commission, technology, and other non-claims expenses."
"exposure","Possibility of loss."
"face sheet note","See “claim note.”"
"facultative reinsurance","A type of insurance policy that an insurance company buys to protect itself from big claims on unusual or especially large policies—such as coverage for jumbo jets or oil rigs."
"feature","Each type of coverage on a claim (e.g., bodily injury, personal injury, and collision could all be “features” of one claim)."
"feature owner","The person assigned to handle a specific feature of a claim."
"file owner","A claims representative who oversees a claim and is responsible for closing it. Every claim must have one. Also called a “claim owner.”"
"financial reserves","A sum of money we set aside to pay for losses that have already been recorded but not fully paid."
"financial responsibility","See “credit.”"
"flat acquisition cost","An amount of money required to attract a new Direct customer and write his or her new policy. This includes advertising, contact center and Internet costs. It varies by market tier, based on allocation of expenses and policy life expectancy."
"ForAgentsOnly.com","A secure website where our agents and brokers quote and sell new policies, process changes on existing policies, access customer policies and read news and information about Progressive."
"For-Hire Livery","For-Hire Livery (or simply, Livery) is our Commercial Auto program for risks offering for-hire passenger transportation. "
"For-Hire Specialty","The name for our program that covers work trucks, like coal haulers, dirt, sand and gravel haulers, or log haulers, focused on specific niches or hauling for others."
"For-Hire Transportation","The name for our program that covers freight trucks, like expeditors, household movers, and owner-operators, that haul goods for others."
"frequency","A factor used to calculate premium rates. It’s the number of times a loss occurs."
"full coverage","A type of policy that protects against both liability and physical damage."
"full-time equivalent","Unit of measure for headcount and productivity. Two half-time employees equal one full-time equivalent."
"Gainshare","The money distributed as part of our Gainsharing program."
"Gainsharing","A program that financially rewards our employees for good business performance and motivates them to work together to achieve business goals. Each employee has a Gainshare target percentage (a certain percentage), with payouts from zero to two times a target percent each year, based on profitability and growth in policies in force."
"gap insurance","An insurance coverage that pays the difference between a car’s actual cash value when it is stolen or wrecked and the amount the customer owes the leasing or finance company. We do not sell “gap insurance.” Instead, we sell Loan/Lease coverage, in which we cap the payout at 25% over ACV. So, if a car's ACV is $10,000, we'd pay $12,500, regardless of how much the customer owes the finance company."
"garaging location","The ZIP code where an insured vehicle is parked when not in use. It's usually the same as the customer's home address."
"general damages","A type of damages that have no set dollar amount (e.g., pain and suffering and disfigurement). A person can be awarded money for general damages, over and above special damages."
"Generally Accepted Accounting Principles","The standard guidelines that publicly held companies use to prepare and present financial statements to the Securities and Exchange Commission (SEC)."
"generic auto parts","See “non-OEM.”"
"good risk","A driver with a less-than-average chance of filing a claim."
"Good Student Discount","The savings earned by drivers who reach a specific level of academic achievement. The levels include top 20% of class, B-average, 3.0 grade-point average, honor roll/dean’s list, or top-20th percentile ranking on the SAT or other standardized college entrance test."
"graduated driver license","A type of license for young drivers. It restricts certain activities, such as night driving, while they improve their driving skills."
"gross vehicle weight rating","The vehicle's total weight, including the vehicle itself, fuel, passengers, cargo, and miscellaneous items."
"gross written premium","The total premium insurers earn before subtracting reinsurance and commissions."
"Hardworking Insurance®","A Progressive incentive program that encourages agents to sell Commercial Auto insurance products."
"head of claims","The title of the Progressive employee who oversees our claims operations in Australia."
"hold harmless","An agreement whereby one party or organization relieves another of liability by taking the obligation upon themselves."
"Homeowner Discount","The savings earned when the primary residence is a home, townhome or condominium."
"homeowners coverage","An insurance policy that provides property and personal liability coverages for homeowners."
"homeowners insurance","A type of insurance that customers purchase to be reimbursed for losses to their house, garage, and other structures on their property and personal possessions due to windstorm, fire, theft, or other perils. Customers must buy additional coverage for flood or earthquake damage separately."
"HomeQuote Explorer®","The quoting system used to sell home insurance policies. The system generates quotes from Progressive and its affiliates, as well as policy quotes from other companies."
"HRexpress","Our website for HR-related information—including HR forms, job opportunities, and Employee Self Service—which gives employees access to their own HR information."
"Human Resources Service Center","A group that provides Human Resources support for employees."
"Immediate Response® vehicle","The name for the white SUVs that claims reps drive to provide in-person, local claims service to customers."
"inception date","The date that the insurance coverage starts."
"incurred but not reported","A claim not filed until long after a loss takes place. For example, asbestos-related diseases do not show up until decades after asbestos exposure. Workers' compensation claims often unfold over time. We regularly adjust reserves for such losses as new information becomes available."
"incurred losses","A type of loss that includes all claims that have been paid and reserved in a particular reporting period."
"indemnify","To provide financial compensation for losses."
"indemnity","The payment for replacement or repair of a person’s property."
"independent agent","A self-employed agent who is paid on commission and represents several insurance companies."
"indexing","A method insurance companies use to exchange information about the injury history of a claimant or customer."
"indication","An analysis tool used to calculate whether a rate change is needed in a state to meet our combined ratio goals. The analysis looks at premiums, losses, and trends in the state. A negative indication would show that rates are overpriced in a state. A positive indication would show rates are underpriced in the state."
"indirect damage","A type of damage caused by a collision, but not in the area of impact (e.g., cracks in the rear glass after a frontal collision)."
"Inexperienced Operator Surcharge","A charge paid by drivers age 19 and older with less than one year of driving experience."
"initial payment","The portion of the premium customers pay when they buy a policy, with the rest to be paid later. Previously called a “down payment.”"
"insurable interest","When loss of or damage to property would cause financial or other hardship for someone. Insurance companies must determine “insurable interest” before they provide a customer an insurance policy."
"insurance policy","A contract in which an insurer agrees to pay for certain types of an insured's losses, in exchange for a fee."
"insured","A person or company covered by an insurance policy."
"insurer","The company that issues an insurance policy agreeing to pay for certain types of an insured's losses."
"insuring agreement","The part of an insurance policy that explains what the insurer will cover in case of loss."
"Integrated Agency Quoting","A new agency quoting application, known externally as Portfolio Quoting, where agents can have multiple products in a single quote."
"internet business","The portion of our Direct business that is sold and serviced on progressive.com."
"Internet Discount","The savings earned for choosing to service the policy at progressive.com rather than by phone."
"in-vault","A group of items stored in a bank vault and covered under a valuable articles policy. The customer generally pays a lower premium for storing items in a vault."
"investigation","A process in which a claims representative determines how damage occurred. It may include gathering facts about an accident and checking the damage on other cars or property."
"IT Support Center","The call center that handles computer system questions from Progressive employees."
"KeepTruckin","The name of partner electronic logging device vendor."
"Law of Large Numbers","A theorem within the probability theory that the more units of a group (e.g., sport utility vehicles, 55-year-old married men) insured, the more accurate the predictions of loss. This law, also known as the Law of Averages, is the basis of the insurance business."
"Length of Residency","The length of time the customer lived at their current address prior to their policy’s inception. This factor is used to help determine the appropriate rate for a customer when they don’t have proof of prior insurance."
"leniency",
"lessors risk","A type of insurance for owners of commercial property, which protects the owner against property loss, damage, and injury claims."
"liability","A legal responsibility or obligation."
"liability insurance","A type of insurance that covers the amount a customer must pay for bodily injury they cause someone else or property damage."
"liability losses","The financial loss a person suffers related to paying someone back after damaging his or her property."
"Liability-Only policy","A type of policy that doesn't include physical damage coverage (i.e., comprehensive or collision)."
"lien","The right to keep another’s property until he or she has paid the debt."
"lienholder","A person or business that has the right to keep another’s property until the owner has paid their debt."
"lifetime earned premium","The amount of underwriting profit we earn or expect to earn over the lifetime of a policy, a group of policies or a whole book of business."
"lifetime underwriting profit","The amount of underwriting profit we earn or expect to earn over the lifetime of a policy, a group of policies, or a whole book of business."
"limits","The maximum amount of money insurance companies will pay for a claim on an insurance policy. Companies include the limits on the policy's declarations page."
"line coverage","The amount of insurance coverage purchased or provided for a certain risk, such as bodily injury, property damage, or collision."
"Loan/Lease Payoff coverage","A type of gap insurance in which we pay up to 25% over the  actual cash value towards the amount a customer owes the lender if we declare the vehicle a total loss."
"loss","A reduction in the quality or value of an item, or a legal liability."
"loss adjustment expense","The amount we pay for investigating and settling insurance claims, including claims reps' salaries, building leases, company vehicles and legal fees."
"loss adjustment expense ratio","The percentage of premium needed to pay loss adjustment expense over a given time period."
"loss adjustment expense reserves","The money set aside to cover the estimated costs of investigating and settling new or current claims, including salaries, building leases, company vehicle, and legal fees."
"loss of use","A situation that occurs when a customer can no longer use his or her property. We generally provide coverage for things like rental cars."
"loss payee","The person (or business) we pay in the event of a loss. Sometimes called a “lienholder,” which is usually the bank that holds the loan on the vehicle."
"loss ratio","The percentage of premium used to pay claims, over a given period of time, not including loss adjustment expenses."
"loss reserve development","A situation in which we settle a claim for an amount different than the money reserved. An “adverse development” is when we settle a claim for more than the money reserved. A “favorable development” is when we settle a claim for less than the money reserved."
"loss reserves","An amount of money set aside to pay current and future claims."
"loss reserving","The process in which actuaries determine the amount of money to set aside to pay current and future claims."
"Making Our Auto Customers Feel More at Home®","An advertising tagline we have used to promote our Progressive Home Advantage product since 2008."
"manufactured home","A motor vehicle built on a truck or bus chassis with living quarters for recreational travel."
"MapPro","A feature on The Highway that helps employees find emergency maps, conference rooms, training rooms, desks, and other locations  in our buildings."
"mediation","A procedure in which a third party attempts to resolve a conflict between two parties."
"Medical Payments","A coverage with which we pay a customer for medical or funeral expenses as the result of an accident, regardless of who’s at fault."
"Minor Child Discount","The savings earned for having a child age 18 or younger listed as a rated driver, along with a minimum level of policy tenure (tenure varies by state)."
"mobile home","A large house trailer that can be moved, but is typically parked in one place. It’s connected to utilities and used as permanent housing. We offer various coverages through our Special Lines business group, including primary, seasonal, or rental mobile home insurance."
"Mobile Home Owner Discount","The savings earned for owning a mobile home."
"monoline","Describes a business that focuses on one specific financial area, such as a “single line” of insurance written without other coverages."
